Site F Longitude Latitude    ve      vn   sig_ve sig_vn rho_en    t1       t2   
        (deg.E)   (deg.N) |---------- mm/yr ----------|                         
DRAA s   35.5717  31.2493   23.98   22.75   0.69   0.69 -0.018 2005.584 2010.441
DSEC s   22.7182  42.6757   24.69   11.33   0.94   0.98 -0.003 1997.734 2000.693
DUB0 s   35.6910  27.3721   28.33   24.21   0.62   0.61 -0.036 2005.288 2010.441
DUB1 s   35.8313  27.4762   28.37   24.33   0.83   0.83 -0.026 2005.288 2010.255
DUB2 s   35.9963  27.8031   26.61   24.85   0.69   0.69 -0.007 2005.288 2010.255
DUB3 s   36.1034  28.2675   26.88   24.15   0.63   0.63 -0.026 2005.288 2010.255
DYLI s   37.7764  40.3999   21.11   16.57   1.05   1.15 -0.038 2004.758 2007.658
EB00 s   23.0336  38.7551   14.00   -5.54   0.19   0.20 -0.010 1997.734 2005.740
EC00 s   23.2223  38.6199   10.45   -6.66   0.34   0.35  0.001 1997.734 2005.740
ED00 s   23.0444  38.5842   11.34   -5.59   0.35   0.36 -0.002 1997.734 2005.740
EDI1 s   41.6767  13.8451   39.22   25.83   1.19   1.13  0.000 2006.232 2009.210
EDTI s   41.3530  14.3594   35.95   24.58   0.90   0.82 -0.033 2007.381 2011.290
EE00 s   23.4027  38.5069   10.44   -8.65   0.37   0.38 -0.007 1997.734 2005.740
EF05 s   23.4102  38.4000    9.22   -8.61   0.35   0.36 -0.000 1997.734 2005.740
EJ00 s   23.7986  38.5229    9.61  -10.52   0.35   0.36 -0.003 1997.734 2005.740
EK00 s   23.5037  38.6142   11.22   -7.21   0.49   0.50 -0.015 1997.734 2005.740
EL00 s   23.6955  38.7580   11.92   -8.00   0.47   0.43 -0.025 1997.734 2005.740
ELBI s   37.2200  38.1790   11.79   20.71   0.29   0.31 -0.051 1998.644 2008.529
EM00 s   23.4538  38.7189   13.29   -7.29   0.44   0.46  0.001 1997.734 2005.740
EMAM s   56.9355  27.3976   28.12   28.23   0.88   0.86 -0.001 2005.089 2008.097
EMER s   33.6003  26.6902   23.38   17.16   0.92   0.90 -0.005 2006.384 2009.210
EN00 s   23.3270  38.7684   13.05   -5.66   0.53   0.54 -0.002 1997.734 2005.740
ENO0 s   45.0935  40.9202   30.48   16.97   0.55   0.58 -0.011 1998.699 2003.516
EO00 s   23.1004  38.8573   14.50   -3.09   0.37   0.38 -0.005 1997.734 2005.740
EP00 s   42.4967  11.5716   34.62   17.78   0.78   0.73  0.000 1999.126 2003.216
ERA0 s   45.2092  40.1977   29.59   18.80   0.38   0.39 -0.015 1998.699 2009.523
ERA4 s   45.2092  40.1978   29.73   18.04   0.49   0.52 -0.015 2003.516 2009.523
ERCT s   29.2432  40.3187    2.72   10.10   0.37   0.41 -0.076 2002.934 2011.377
ERZM s   41.3004  39.9735   26.05   15.58   0.81   0.86 -0.030 1994.736 1998.699
ESKI s   30.6370  39.6576    1.22    9.33   0.44   0.45 -0.011 1999.934 2011.377
ESMA s   56.9275  27.3921   30.67   28.69   0.90   0.89 -0.012 2005.089 2008.097
FANA s   32.5657  29.3787   24.53   18.91   0.47   0.48  0.017 1996.307 2003.755
FARY s   57.0849  27.4534   28.92   23.11   1.00   0.98 -0.015 2005.089 2008.097
FETI s   38.1390  38.6150    9.59   20.81   0.75   0.84 -0.061 2004.758 2008.529
FEVZ s   36.6433  37.0876   17.01   22.10   0.54   0.90 -0.031 1998.699 2008.529
FFF0 s   42.5175  11.6526   40.78   27.24   1.07   0.99 -0.002 1999.126 2003.216
FIFA s   35.4555  30.9068   22.41   21.65   1.11   1.11 -0.012 2007.462 2010.441
FIST s   28.8818  40.4806    4.82    9.48   0.28   0.54 -0.015 2000.245 2011.377
FLRT s   28.7789  40.9748   22.19   11.59   0.92   1.05 -0.037 2009.400 2013.466
FROL s   22.9354  42.1325   24.87   11.54   0.80   0.80  0.001 1997.734 2002.708
GAGA s   44.8585  40.5258   26.39   14.41   0.75   0.77  0.010 1998.699 2002.708
GARB s   33.2283  28.1629   23.80   18.74   0.47   0.48  0.000 1997.903 2003.755
GARO s   57.4411  25.8460   29.15   28.25   0.90   0.88 -0.011 2005.089 2008.097
GAVR s   57.1112  26.9854   27.90   27.54   0.91   0.90 -0.011 2005.089 2008.097
GAZI s   37.5739  36.9011   19.97   25.16   1.18   1.20 -0.013 1994.736 2002.508
GBAG s   35.8297  40.6815   10.29   19.18   1.26   1.40 -0.042 2001.610 2004.582
GBRV s   25.2768  42.9629   25.59   11.97   0.55   0.57 -0.014 1996.682 2001.610
GEG0 s   44.8096  40.1596   28.71   18.12   0.35   0.36 -0.022 1998.699 2009.523
GEG4 s   44.8095  40.1595   29.12   17.64   0.50   0.53 -0.018 2003.516 2009.523
GELA s   40.0878  15.1141   32.12   15.83   0.73   0.69 -0.001 2005.089 2009.210
GEMS s   33.4943  27.6862   24.73   16.94   0.45   0.44 -0.001 1997.903 2003.755
GENA s   57.3625  27.4705   29.11   21.84   0.56   0.54 -0.021 2000.071 2006.025
GHOT s   44.4277  38.4893   26.19   23.01   0.69   0.72 -0.023 2002.708 2006.789
GJ02 s   43.3207  41.4580   28.53   11.81   1.01   1.11  0.019 2009.600 2012.473
GK04 s   44.5021  41.5578   28.91   14.93   1.16   1.34  0.011 2009.400 2012.611
GK06 s   44.5089  41.6885   26.93   15.81   1.08   1.15 -0.009 2008.529 2012.611
GK07 s   44.5255  41.8307   27.53   15.73   0.26   0.28 -0.023 2009.400 2012.720
GK11 s   44.6717  42.2252   25.90   12.97   0.99   1.08 -0.041 2008.590 2012.720
GK12 s   44.6881  42.3038   25.66   14.12   1.10   1.28  0.001 2008.590 2012.720
GK13 s   44.4868  42.4450   26.82   13.34   1.15   1.20  0.012 2008.590 2012.720
GK14 s   44.4682  42.5251   24.59   14.56   0.73   0.80 -0.075 2008.590 2012.720
GK16 s   44.6273  42.7167   27.40   12.53   1.12   1.11  0.063 2009.400 2012.720
GKCB s   35.3159  40.6664    8.93   17.11   1.17   1.38 -0.072 2001.610 2004.582
GKPN s   29.3920  37.4483    4.57    3.36   0.71   0.81 -0.022 2000.786 2009.693
